split_seed,policy,macro_BIG,macro_normalized_BIG,macro_call_rate
1,R7,-0.0039913629631059015,-0.04926756860460629,20.00941223239445
1,R8,-0.0021239535764053783,-0.023834007609604264,13.114233149417096
1,R9,-0.0007497198152847333,-0.01706226116513739,3.8635673865428752
1,Random,-0.00746591548777344,-0.08881445023425573,20.00941223239445
2,R7,-0.007445739806928114,-0.1886596728194667,20.022787663502324
2,R8,-0.00135612876654869,-0.08672428806109787,12.700474994130849
2,R9,0.0008192379544732301,0.02085785733570368,3.3375587272388905
2,Random,-0.006702245474751363,-0.13790896887877713,20.022787663502324
3,R7,0.007322630681013031,-0.005625958122936495,19.980715906030678
3,R8,0.003426926209496034,0.004177631537142873,13.283296451219824
3,R9,-0.00045433746840939,-0.010039936625684307,4.545867978001673
3,Random,0.004362572845516513,-0.055096240178065435,19.980715906030678
4,R7,0.02541127802134607,0.08315780814957531,19.991610007541272
4,R8,0.009105559267656481,0.04587572887692499,13.029039520572509
4,R9,-0.00011248940189241331,-0.011255440602610781,4.302465209191246
4,Random,0.020056954614871125,0.018306876006888937,19.991610007541272
5,R7,0.001162848699567953,0.01933508719676603,20.028097016026656
5,R8,0.0023280113035771435,0.025858311894815553,12.860161558641979
5,R9,-0.0003437953450512418,-0.009376821508709247,5.63162472791571
5,Random,-0.005352906599122821,-0.07314173596077563,20.028097016026656
